Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg
206,Josh Hart_19/20,SF,24,NOP,65,16,1755.0,5.9,14.0,0.423,3.2,9.3,0.342,2.7,4.7,0.584,2.2,3.0,0.739,1.6,9.6,11.2,2.8,1.7,0.6,2.0,4.2,17.3,110.0,111
209,Jaxson Hayes_19/20,C,19,NOP,64,14,1080.0,7.5,11.1,0.672,0.0,0.2,0.25,7.4,10.9,0.678,5.3,8.1,0.647,4.2,6.9,11.1,2.4,1.1,2.4,2.3,6.9,20.2,131.0,111
210,Gordon Hayward_19/20,SF,29,BOS,52,52,1740.0,9.7,19.4,0.5,2.4,6.2,0.383,7.4,13.3,0.554,3.4,4.0,0.855,1.5,8.1,9.7,5.9,1.1,0.6,2.7,2.7,25.2,118.0,109
215,Tyler Herro_19/20,SG,20,MIA,55,8,1508.0,8.7,20.4,0.428,3.8,9.6,0.389,5.0,10.8,0.462,2.8,3.2,0.87,0.5,6.7,7.3,3.9,1.1,0.3,2.8,2.5,24.1,103.0,112
217,Mario Hezonja_19/20,PF,24,POR,53,4,871.0,5.0,11.9,0.422,1.3,4.3,0.308,3.7,7.7,0.486,2.6,3.2,0.814,1.6,8.4,10.1,2.7,2.0,0.5,2.3,5.9,14.0,104.0,113
218,Buddy Hield_19/20,SG,27,SAC,72,44,2216.0,10.9,25.4,0.429,5.9,15.1,0.394,5.0,10.4,0.479,2.5,3.0,0.846,1.2,5.9,7.2,4.7,1.4,0.4,3.7,3.6,30.3,106.0,114
219,George Hill_19/20,PG,33,MIL,59,2,1271.0,7.0,13.5,0.516,2.9,6.3,0.46,4.1,7.2,0.565,3.1,3.6,0.842,1.8,4.6,6.4,6.5,1.7,0.2,2.0,3.0,19.9,131.0,106
220,Solomon Hill_19/20,PF,28,MEM,48,3,901.0,5.0,12.1,0.412,2.9,7.6,0.381,2.1,4.5,0.465,1.3,2.0,0.684,1.2,6.2,7.5,4.9,1.6,0.4,2.1,3.8,14.2,109.0,112
222,Aaron Holiday_19/20,PG,23,IND,66,33,1617.0,7.0,16.9,0.414,2.6,6.6,0.394,4.4,10.3,0.427,2.2,2.6,0.851,0.7,4.0,4.7,6.8,1.7,0.5,2.6,3.6,18.8,104.0,110
223,Jrue Holiday_19/20,SG,29,NOP,61,61,2117.0,10.0,22.0,0.455,2.7,7.6,0.353,7.3,14.4,0.509,2.8,4.0,0.709,1.7,4.7,6.4,8.9,2.2,1.0,4.0,3.2,25.5,108.0,112
224,Justin Holiday_19/20,SF,30,IND,73,6,1826.0,5.5,12.9,0.428,3.6,8.8,0.405,2.0,4.1,0.477,1.4,1.8,0.791,0.9,5.5,6.3,2.5,2.3,1.2,1.2,3.6,16.0,114.0,107
225,Rondae Hollis-Jefferson_19/20,PF,25,TOR,60,6,1122.0,6.6,13.9,0.471,0.1,1.0,0.13,6.4,13.0,0.497,4.5,6.1,0.734,4.7,7.3,12.0,4.5,2.0,1.0,2.5,4.9,17.7,114.0,104
226,Richaun Holmes_19/20,C,26,SAC,44,38,1242.0,8.7,13.4,0.648,0.0,0.0,,8.7,13.4,0.648,3.6,4.6,0.788,5.0,9.0,14.0,1.6,1.6,2.2,2.0,6.6,21.1,131.0,109
227,Rodney Hood_19/20,SF,27,POR,21,21,619.0,6.7,13.2,0.506,2.7,5.5,0.493,4.0,7.8,0.515,1.6,2.1,0.778,0.8,4.8,5.5,2.5,1.3,0.3,1.5,3.5,17.7,121.0,117
228,Al Horford_19/20,C,33,PHI,67,61,2025.0,7.6,17.0,0.45,2.4,6.8,0.35,5.3,10.2,0.516,1.5,1.9,0.763,2.5,8.4,10.9,6.5,1.2,1.5,1.9,3.4,19.1,115.0,109
230,Danuel House_19/20,SF,26,HOU,63,52,1913.0,5.6,13.0,0.427,3.1,8.6,0.363,2.4,4.5,0.549,1.8,2.2,0.811,1.4,5.1,6.5,2.1,1.6,0.8,1.3,3.2,16.0,114.0,112
231,Dwight Howard_19/20,C,34,LAL,69,2,1306.0,7.4,10.1,0.729,0.1,0.2,0.6,7.2,9.9,0.732,4.0,7.8,0.514,6.3,12.2,18.5,1.6,1.1,2.9,3.1,8.1,18.8,125.0,103
233,Kevin Huerter_19/20,SG,21,ATL,56,48,1760.0,6.7,16.1,0.413,3.4,8.8,0.38,3.3,7.3,0.453,1.4,1.7,0.828,0.9,5.1,6.0,5.6,1.4,0.7,2.3,3.7,18.1,107.0,116
234,De'Andre Hunter_19/20,SF,22,ATL,63,62,2018.0,6.5,15.8,0.41,2.5,7.0,0.355,4.0,8.8,0.454,2.5,3.3,0.764,1.0,5.6,6.6,2.6,1.0,0.4,2.4,4.2,18.0,100.0,117
236,Serge Ibaka_19/20,C,30,TOR,55,27,1485.0,11.0,21.5,0.512,2.2,5.8,0.385,8.7,15.6,0.559,2.9,4.0,0.718,3.7,10.8,14.5,2.5,0.9,1.5,3.5,4.9,27.1,108.0,104
